"Name","external_config_dict.margin","external_config_dict.embedding_size","external_config_dict.history_len","external_config_dict.gamma","external_config_dict.neg_seq_len","external_config_dict.negative_weight","valid/ndcg@10","valid/ndcg@20","valid/recall@10","valid/recall@20"
"SimpleX-30-0.0-0.7-43-20-61-0.001","0","30","61","0.7","43","20","0.2523","0.2647","0.1637","0.2541"
"SimpleX-30-0.4-0.7-43-20-61-0.001","0.4","30","61","0.7","43","20","0.2635","0.2793","0.1687","0.2672"
"SimpleX-37-0.0-0.0-79-10-52-0.001","0","37","52","0","79","10","0.269","0.2894","0.1634","0.2722"
"SimpleX-37-0.4-0.0-79-10-52-0.001","0.4","37","52","0","79","10","0.2801","0.2975","0.1716","0.2779"
"SimpleX-20-0.0-0.5-71-32-51-0.001","0","20","51","0.5","71","32","0.2205","0.2355","0.1461","0.2322"
"SimpleX-20-0.3-0.5-71-32-51-0.001","0.3","20","51","0.5","71","32","0.2024","0.2221","0.1396","0.2243"
"SimpleX-43-0.0-0.7-44-25-48-0.001","0","43","48","0.7","44","25","0.2477","0.2617","0.1632","0.2549"
"SimpleX-43-0.3-0.7-44-25-48-0.001","0.3","43","48","0.7","44","25","0.2524","0.2672","0.1648","0.2556"
"SimpleX-38-0.0-0.2-45-97-89-0.001","0","38","89","0.2","45","97","0.1293","0.145","0.0911","0.1466"
"SimpleX-38-0.4-0.2-45-97-89-0.001","0.4","38","89","0.2","45","97","0.1588","0.1745","0.103","0.175"
"SimpleX-38-0.0-0.6-54-34-63-0.001","0","38","63","0.6","54","34","0.2117","0.2278","0.1476","0.2287"
"SimpleX-38-0.3-0.6-54-34-63-0.001","0.3","38","63","0.6","54","34","0.22","0.2363","0.1487","0.2315"
"SimpleX-46-0.0-0.1-29-86-22-0.001","0","46","22","0.1","29","86","0.1338","0.1496","0.0909","0.1497"
"SimpleX-46-0.6-0.1-29-86-22-0.001","0.6","46","22","0.1","29","86","0.2066","0.2155","0.1298","0.2011"
"SimpleX-52-0.0-0.2-20-78-59-0.001","0","52","59","0.2","20","78","0.1311","0.1416","0.0845","0.136"
"SimpleX-52-0.2-0.2-20-78-59-0.001","0.2","52","59","0.2","20","78","0.127","0.1404","0.0775","0.1359"
"SimpleX-25-0.0-0.4-73-14-87-0.001","0","25","87","0.4","73","14","0.2653","0.2796","0.1643","0.2646"
"SimpleX-25-0.1-0.4-73-14-87-0.001","0.1","25","87","0.4","73","14","0.2654","0.2816","0.1624","0.2657"
"SimpleX-47-0.0-0.3-30-74-62-0.001","0","47","62","0.3","30","74","0.1446","0.1574","0.0959","0.1549"
"SimpleX-47-0.6-0.3-30-74-62-0.001","0.6","47","62","0.3","30","74","0.1938","0.2056","0.1241","0.1952"
"SimpleX-45-0.0-0.1-70-65-93-0.001","0","45","93","0.1","70","65","0.1695","0.1853","0.1162","0.184"
"SimpleX-45-0.8-0.1-70-65-93-0.001","0.8","45","93","0.1","70","65","0.2104","0.2257","0.1349","0.2185"
"SimpleX-29-0.0-0.5-40-56-95-0.001","0","29","95","0.5","40","56","0.1762","0.1923","0.1216","0.1928"
"SimpleX-29-0.9-0.5-40-56-95-0.001","0.9","29","95","0.5","40","56","0.2174","0.2339","0.1428","0.2264"
"SimpleX-12-0.0-0.2-40-10-34-0.001","0","12","34","0.2","40","10","0.2289","0.2466","0.1335","0.2281"
"SimpleX-12-1.0-0.2-40-10-34-0.001","1","12","34","0.2","40","10","0.0125","0.0255","0.0074","0.03"
"SimpleX-18-0.0-0.9-66-40-58-0.001","0","18","58","0.9","66","40","0.196","0.2134","0.1353","0.2106"
"SimpleX-18-0.8-0.9-66-40-58-0.001","0.8","18","58","0.9","66","40","0.2353","0.251","0.1517","0.2428"
"SimpleX-39-0.0-1.0-48-97-56-0.001","0","39","56","1","48","97","0.1554","0.1716","0.1007","0.1661"
"SimpleX-39-0.3-1.0-48-97-56-0.001","0.3","39","56","1","48","97","0.1503","0.1646","0.0983","0.1605"
"SimpleX-32-0.0-1.0-46-63-43-0.001","0","32","43","1","46","63","0.1707","0.1882","0.1146","0.1879"
"SimpleX-32-0.7-1.0-46-63-43-0.001","0.7","32","43","1","46","63","0.1939","0.2117","0.1269","0.2086"
"SimpleX-57-0.0-0.2-63-15-87-0.001","0","57","87","0.2","63","15","0.2744","0.2891","0.173","0.2704"
"SimpleX-57-0.6-0.2-63-15-87-0.001","0.6","57","87","0.2","63","15","0.2725","0.2853","0.1717","0.2696"
"SimpleX-12-0.0-0.1-51-72-41-0.001","0","12","41","0.1","51","72","0.074","0.0829","0.0422","0.0755"
"SimpleX-12-0.9-0.1-51-72-41-0.001","0.9","12","41","0.1","51","72","0.1626","0.1684","0.1005","0.1515"
"SimpleX-23-0.0-1.0-45-72-30-0.001","0","23","30","1","45","72","0.1789","0.1915","0.1195","0.1855"
"SimpleX-23-0.8-1.0-45-72-30-0.001","0.8","23","30","1","45","72","0.2075","0.2204","0.1357","0.2144"
"SimpleX-46-0.0-0.9-71-64-11-0.001","0","46","11","0.9","71","64","0.1756","0.1931","0.1261","0.1949"
"SimpleX-46-0.1-0.9-71-64-11-0.001","0.1","46","11","0.9","71","64","0.1729","0.1908","0.1194","0.1903"
