"Name","external_config_dict.gamma","external_config_dict.embedding_size","external_config_dict.history_len","external_config_dict.margin","external_config_dict.neg_seq_len","external_config_dict.negative_weight","valid/ndcg@10","valid/ndcg@20","valid/recall@10","valid/recall@20"
"SimpleX-19-0.7-1.0-32-68-54-0.001","1","19","54","0.7","32","68","0.186","0.2031","0.1226","0.2016"
"SimpleX-19-0.7-0.6-32-68-54-0.001","0.6","19","54","0.7","32","68","0.1788","0.1922","0.1144","0.1829"
"SimpleX-26-0.7-1.0-84-61-59-0.001","1","26","59","0.7","84","61","0.1918","0.2112","0.1304","0.2088"
"SimpleX-26-0.7-0.2-84-61-59-0.001","0.2","26","59","0.7","84","61","0.1819","0.1964","0.1177","0.1868"
"SimpleX-44-0.0-1.0-50-52-20-0.001","1","44","20","0","50","52","0.1903","0.2063","0.1295","0.2037"
"SimpleX-44-0.0-0.3-50-52-20-0.001","0.3","44","20","0","50","52","0.1662","0.1868","0.1222","0.1958"
"SimpleX-40-0.5-1.0-65-51-10-0.001","1","40","10","0.5","65","51","0.1887","0.2079","0.1242","0.206"
"SimpleX-40-0.5-0.3-65-51-10-0.001","0.3","40","10","0.5","65","51","0.2041","0.2232","0.1348","0.2196"
"SimpleX-27-0.7-1.0-31-48-32-0.001","1","27","32","0.7","31","48","0.2024","0.2201","0.1369","0.2179"
"SimpleX-27-0.7-0.2-31-48-32-0.001","0.2","27","32","0.7","31","48","0.2123","0.229","0.1428","0.2212"
"SimpleX-27-0.2-1.0-76-89-25-0.001","1","27","25","0.2","76","89","0.153","0.1689","0.104","0.1676"
"SimpleX-27-0.2-0.2-76-89-25-0.001","0.2","27","25","0.2","76","89","0.1178","0.1358","0.079","0.1353"
"SimpleX-32-0.6-1.0-67-63-97-0.001","1","32","97","0.6","67","63","0.1965","0.2136","0.1282","0.208"
"SimpleX-32-0.6-0.3-67-63-97-0.001","0.3","32","97","0.6","67","63","0.1926","0.2148","0.1277","0.2133"
"SimpleX-19-0.1-1.0-66-22-34-0.001","1","19","34","0.1","66","22","0.2492","0.2621","0.16","0.2542"
"SimpleX-19-0.1-0.2-66-22-34-0.001","0.2","19","34","0.1","66","22","0.2177","0.238","0.1469","0.2385"
"SimpleX-15-0.2-1.0-82-59-86-0.001","1","15","86","0.2","82","59","0.1678","0.1831","0.1161","0.1812"
"SimpleX-15-0.2-0.5-82-59-86-0.001","0.5","15","86","0.2","82","59","0.1327","0.1529","0.1002","0.1617"
"SimpleX-12-0.7-1.0-87-48-78-0.001","1","12","78","0.7","87","48","0.2066","0.2239","0.1393","0.2208"
"SimpleX-12-0.7-0.1-87-48-78-0.001","0.1","12","78","0.7","87","48","0.1113","0.1184","0.06","0.1064"
"SimpleX-42-0.2-1.0-62-38-14-0.001","1","42","14","0.2","62","38","0.2216","0.2323","0.1485","0.2256"
"SimpleX-42-0.2-0.3-62-38-14-0.001","0.3","42","14","0.2","62","38","0.1966","0.218","0.144","0.2228"
"SimpleX-37-0.7-1.0-93-18-51-0.001","1","37","51","0.7","93","18","0.2529","0.2708","0.1638","0.2607"
"SimpleX-37-0.7-0.9-93-18-51-0.001","0.9","37","51","0.7","93","18","0.2595","0.2773","0.1684","0.2686"
"SimpleX-44-0.5-1.0-50-40-67-0.001","1","44","67","0.5","50","40","0.2022","0.2175","0.1315","0.2138"
"SimpleX-44-0.5-0.8-50-40-67-0.001","0.8","44","67","0.5","50","40","0.2094","0.2254","0.1407","0.2217"
"SimpleX-47-0.0-1.0-27-40-48-0.001","1","47","48","0","27","40","0.2151","0.2263","0.142","0.2149"
"SimpleX-47-0.0-0.3-27-40-48-0.001","0.3","47","48","0","27","40","0.1992","0.2113","0.1386","0.2101"
"SimpleX-59-0.3-1.0-88-66-15-0.001","1","59","15","0.3","88","66","0.1727","0.1897","0.1166","0.1895"
"SimpleX-59-0.3-0.6-88-66-15-0.001","0.6","59","15","0.3","88","66","0.1699","0.1891","0.1159","0.1909"
"SimpleX-53-0.4-1.0-56-94-68-0.001","1","53","68","0.4","56","94","0.1546","0.1723","0.1012","0.1715"
"SimpleX-53-0.4-0.2-56-94-68-0.001","0.2","53","68","0.4","56","94","0.1521","0.1703","0.106","0.1734"
"SimpleX-36-0.4-1.0-43-96-32-0.001","1","36","32","0.4","43","96","0.1682","0.181","0.1067","0.1711"
"SimpleX-36-0.4-0.7-43-96-32-0.001","0.7","36","32","0.4","43","96","0.1674","0.1837","0.1066","0.1774"
"SimpleX-12-0.6-1.0-87-27-58-0.001","1","12","58","0.6","87","27","0.2382","0.2541","0.1551","0.2475"
"SimpleX-12-0.6-0.5-87-27-58-0.001","0.5","12","58","0.6","87","27","0.1934","0.2123","0.1259","0.2106"
"SimpleX-43-0.7-1.0-19-51-56-0.001","1","43","56","0.7","19","51","0.1942","0.2127","0.1288","0.2104"
"SimpleX-43-0.7-0.3-19-51-56-0.001","0.3","43","56","0.7","19","51","0.2028","0.2216","0.1366","0.215"
"SimpleX-23-0.7-1.0-45-72-14-0.001","1","23","14","0.7","45","72","0.1935","0.2106","0.124","0.2055"
"SimpleX-23-0.7-0.2-45-72-14-0.001","0.2","23","14","0.7","45","72","0.1944","0.2054","0.1261","0.1957"
