"Step","SimpleX-30-0.0-0.7-43-20-61-0.001 - valid/recall@10","SimpleX-30-0.0-0.7-43-20-61-0.001 - valid/recall@10__MIN","SimpleX-30-0.0-0.7-43-20-61-0.001 - valid/recall@10__MAX","SimpleX-30-0.4-0.7-43-20-61-0.001 - valid/recall@10","SimpleX-30-0.4-0.7-43-20-61-0.001 - valid/recall@10__MIN","SimpleX-30-0.4-0.7-43-20-61-0.001 - valid/recall@10__MAX","SimpleX-37-0.0-0.0-79-10-52-0.001 - valid/recall@10","SimpleX-37-0.0-0.0-79-10-52-0.001 - valid/recall@10__MIN","SimpleX-37-0.0-0.0-79-10-52-0.001 - valid/recall@10__MAX","SimpleX-37-0.4-0.0-79-10-52-0.001 - valid/recall@10","SimpleX-37-0.4-0.0-79-10-52-0.001 - valid/recall@10__MIN","SimpleX-37-0.4-0.0-79-10-52-0.001 - valid/recall@10__MAX","SimpleX-20-0.0-0.5-71-32-51-0.001 - valid/recall@10","SimpleX-20-0.0-0.5-71-32-51-0.001 - valid/recall@10__MIN","SimpleX-20-0.0-0.5-71-32-51-0.001 - valid/recall@10__MAX","SimpleX-20-0.3-0.5-71-32-51-0.001 - valid/recall@10","SimpleX-20-0.3-0.5-71-32-51-0.001 - valid/recall@10__MIN","SimpleX-20-0.3-0.5-71-32-51-0.001 - valid/recall@10__MAX","SimpleX-43-0.0-0.7-44-25-48-0.001 - valid/recall@10","SimpleX-43-0.0-0.7-44-25-48-0.001 - valid/recall@10__MIN","SimpleX-43-0.0-0.7-44-25-48-0.001 - valid/recall@10__MAX","SimpleX-43-0.3-0.7-44-25-48-0.001 - valid/recall@10","SimpleX-43-0.3-0.7-44-25-48-0.001 - valid/recall@10__MIN","SimpleX-43-0.3-0.7-44-25-48-0.001 - valid/recall@10__MAX","SimpleX-38-0.0-0.2-45-97-89-0.001 - valid/recall@10","SimpleX-38-0.0-0.2-45-97-89-0.001 - valid/recall@10__MIN","SimpleX-38-0.0-0.2-45-97-89-0.001 - valid/recall@10__MAX","SimpleX-38-0.4-0.2-45-97-89-0.001 - valid/recall@10","SimpleX-38-0.4-0.2-45-97-89-0.001 - valid/recall@10__MIN","SimpleX-38-0.4-0.2-45-97-89-0.001 - valid/recall@10__MAX","SimpleX-38-0.0-0.6-54-34-63-0.001 - valid/recall@10","SimpleX-38-0.0-0.6-54-34-63-0.001 - valid/recall@10__MIN","SimpleX-38-0.0-0.6-54-34-63-0.001 - valid/recall@10__MAX","SimpleX-38-0.3-0.6-54-34-63-0.001 - valid/recall@10","SimpleX-38-0.3-0.6-54-34-63-0.001 - valid/recall@10__MIN","SimpleX-38-0.3-0.6-54-34-63-0.001 - valid/recall@10__MAX","SimpleX-46-0.0-0.1-29-86-22-0.001 - valid/recall@10","SimpleX-46-0.0-0.1-29-86-22-0.001 - valid/recall@10__MIN","SimpleX-46-0.0-0.1-29-86-22-0.001 - valid/recall@10__MAX","SimpleX-46-0.6-0.1-29-86-22-0.001 - valid/recall@10","SimpleX-46-0.6-0.1-29-86-22-0.001 - valid/recall@10__MIN","SimpleX-46-0.6-0.1-29-86-22-0.001 - valid/recall@10__MAX","SimpleX-52-0.0-0.2-20-78-59-0.001 - valid/recall@10","SimpleX-52-0.0-0.2-20-78-59-0.001 - valid/recall@10__MIN","SimpleX-52-0.0-0.2-20-78-59-0.001 - valid/recall@10__MAX","SimpleX-52-0.2-0.2-20-78-59-0.001 - valid/recall@10","SimpleX-52-0.2-0.2-20-78-59-0.001 - valid/recall@10__MIN","SimpleX-52-0.2-0.2-20-78-59-0.001 - valid/recall@10__MAX","SimpleX-25-0.0-0.4-73-14-87-0.001 - valid/recall@10","SimpleX-25-0.0-0.4-73-14-87-0.001 - valid/recall@10__MIN","SimpleX-25-0.0-0.4-73-14-87-0.001 - valid/recall@10__MAX","SimpleX-25-0.1-0.4-73-14-87-0.001 - valid/recall@10","SimpleX-25-0.1-0.4-73-14-87-0.001 - valid/recall@10__MIN","SimpleX-25-0.1-0.4-73-14-87-0.001 - valid/recall@10__MAX","SimpleX-47-0.0-0.3-30-74-62-0.001 - valid/recall@10","SimpleX-47-0.0-0.3-30-74-62-0.001 - valid/recall@10__MIN","SimpleX-47-0.0-0.3-30-74-62-0.001 - valid/recall@10__MAX","SimpleX-47-0.6-0.3-30-74-62-0.001 - valid/recall@10","SimpleX-47-0.6-0.3-30-74-62-0.001 - valid/recall@10__MIN","SimpleX-47-0.6-0.3-30-74-62-0.001 - valid/recall@10__MAX","SimpleX-45-0.0-0.1-70-65-93-0.001 - valid/recall@10","SimpleX-45-0.0-0.1-70-65-93-0.001 - valid/recall@10__MIN","SimpleX-45-0.0-0.1-70-65-93-0.001 - valid/recall@10__MAX","SimpleX-45-0.8-0.1-70-65-93-0.001 - valid/recall@10","SimpleX-45-0.8-0.1-70-65-93-0.001 - valid/recall@10__MIN","SimpleX-45-0.8-0.1-70-65-93-0.001 - valid/recall@10__MAX","SimpleX-29-0.0-0.5-40-56-95-0.001 - valid/recall@10","SimpleX-29-0.0-0.5-40-56-95-0.001 - valid/recall@10__MIN","SimpleX-29-0.0-0.5-40-56-95-0.001 - valid/recall@10__MAX","SimpleX-29-0.9-0.5-40-56-95-0.001 - valid/recall@10","SimpleX-29-0.9-0.5-40-56-95-0.001 - valid/recall@10__MIN","SimpleX-29-0.9-0.5-40-56-95-0.001 - valid/recall@10__MAX","SimpleX-12-0.0-0.2-40-10-34-0.001 - valid/recall@10","SimpleX-12-0.0-0.2-40-10-34-0.001 - valid/recall@10__MIN","SimpleX-12-0.0-0.2-40-10-34-0.001 - valid/recall@10__MAX","SimpleX-12-1.0-0.2-40-10-34-0.001 - valid/recall@10","SimpleX-12-1.0-0.2-40-10-34-0.001 - valid/recall@10__MIN","SimpleX-12-1.0-0.2-40-10-34-0.001 - valid/recall@10__MAX","SimpleX-18-0.0-0.9-66-40-58-0.001 - valid/recall@10","SimpleX-18-0.0-0.9-66-40-58-0.001 - valid/recall@10__MIN","SimpleX-18-0.0-0.9-66-40-58-0.001 - valid/recall@10__MAX","SimpleX-18-0.8-0.9-66-40-58-0.001 - valid/recall@10","SimpleX-18-0.8-0.9-66-40-58-0.001 - valid/recall@10__MIN","SimpleX-18-0.8-0.9-66-40-58-0.001 - valid/recall@10__MAX","SimpleX-39-0.0-1.0-48-97-56-0.001 - valid/recall@10","SimpleX-39-0.0-1.0-48-97-56-0.001 - valid/recall@10__MIN","SimpleX-39-0.0-1.0-48-97-56-0.001 - valid/recall@10__MAX","SimpleX-39-0.3-1.0-48-97-56-0.001 - valid/recall@10","SimpleX-39-0.3-1.0-48-97-56-0.001 - valid/recall@10__MIN","SimpleX-39-0.3-1.0-48-97-56-0.001 - valid/recall@10__MAX","SimpleX-32-0.0-1.0-46-63-43-0.001 - valid/recall@10","SimpleX-32-0.0-1.0-46-63-43-0.001 - valid/recall@10__MIN","SimpleX-32-0.0-1.0-46-63-43-0.001 - valid/recall@10__MAX","SimpleX-32-0.7-1.0-46-63-43-0.001 - valid/recall@10","SimpleX-32-0.7-1.0-46-63-43-0.001 - valid/recall@10__MIN","SimpleX-32-0.7-1.0-46-63-43-0.001 - valid/recall@10__MAX","SimpleX-57-0.0-0.2-63-15-87-0.001 - valid/recall@10","SimpleX-57-0.0-0.2-63-15-87-0.001 - valid/recall@10__MIN","SimpleX-57-0.0-0.2-63-15-87-0.001 - valid/recall@10__MAX","SimpleX-57-0.6-0.2-63-15-87-0.001 - valid/recall@10","SimpleX-57-0.6-0.2-63-15-87-0.001 - valid/recall@10__MIN","SimpleX-57-0.6-0.2-63-15-87-0.001 - valid/recall@10__MAX","SimpleX-12-0.0-0.1-51-72-41-0.001 - valid/recall@10","SimpleX-12-0.0-0.1-51-72-41-0.001 - valid/recall@10__MIN","SimpleX-12-0.0-0.1-51-72-41-0.001 - valid/recall@10__MAX","SimpleX-12-0.9-0.1-51-72-41-0.001 - valid/recall@10","SimpleX-12-0.9-0.1-51-72-41-0.001 - valid/recall@10__MIN","SimpleX-12-0.9-0.1-51-72-41-0.001 - valid/recall@10__MAX","SimpleX-23-0.0-1.0-45-72-30-0.001 - valid/recall@10","SimpleX-23-0.0-1.0-45-72-30-0.001 - valid/recall@10__MIN","SimpleX-23-0.0-1.0-45-72-30-0.001 - valid/recall@10__MAX","SimpleX-23-0.8-1.0-45-72-30-0.001 - valid/recall@10","SimpleX-23-0.8-1.0-45-72-30-0.001 - valid/recall@10__MIN","SimpleX-23-0.8-1.0-45-72-30-0.001 - valid/recall@10__MAX","SimpleX-46-0.0-0.9-71-64-11-0.001 - valid/recall@10","SimpleX-46-0.0-0.9-71-64-11-0.001 - valid/recall@10__MIN","SimpleX-46-0.0-0.9-71-64-11-0.001 - valid/recall@10__MAX","SimpleX-46-0.1-0.9-71-64-11-0.001 - valid/recall@10","SimpleX-46-0.1-0.9-71-64-11-0.001 - valid/recall@10__MIN","SimpleX-46-0.1-0.9-71-64-11-0.001 - valid/recall@10__MAX"
"1","0.06","0.06","0.06","0.1097","0.1097","0.1097","0.1447","0.1447","0.1447","0.1458","0.1458","0.1458","0.0673","0.0673","0.0673","0.0787","0.0787","0.0787","0.055","0.055","0.055","0.112","0.112","0.112","0.0616","0.0616","0.0616","0.0676","0.0676","0.0676","0.0579","0.0579","0.0579","0.1088","0.1088","0.1088","0.0485","0.0485","0.0485","0.0892","0.0892","0.0892","0.0472","0.0472","0.0472","0.0658","0.0658","0.0658","0.1176","0.1176","0.1176","0.1347","0.1347","0.1347","0.0324","0.0324","0.0324","0.0574","0.0574","0.0574","0.0725","0.0725","0.0725","0.1025","0.1025","0.1025","0.0363","0.0363","0.0363","0.0662","0.0662","0.0662","0.0924","0.0924","0.0924","0.0214","0.0214","0.0214","0.0522","0.0522","0.0522","0.0638","0.0638","0.0638","0.038","0.038","0.038","0.0349","0.0349","0.0349","0.0405","0.0405","0.0405","0.0653","0.0653","0.0653","0.147","0.147","0.147","0.1444","0.1444","0.1444","0.0242","0.0242","0.0242","0.0699","0.0699","0.0699","0.0425","0.0425","0.0425","0.0513","0.0513","0.0513","0.0502","0.0502","0.0502","0.0595","0.0595","0.0595"
"3","0.1011","0.1011","0.1011","0.1331","0.1331","0.1331","0.1455","0.1455","0.1455","0.1537","0.1537","0.1537","0.0833","0.0833","0.0833","0.1032","0.1032","0.1032","0.1043","0.1043","0.1043","0.1345","0.1345","0.1345","0.0539","0.0539","0.0539","0.079","0.079","0.079","0.0836","0.0836","0.0836","0.109","0.109","0.109","0.0556","0.0556","0.0556","0.0917","0.0917","0.0917","0.0607","0.0607","0.0607","0.072","0.072","0.072","0.1481","0.1481","0.1481","0.1467","0.1467","0.1467","0.0577","0.0577","0.0577","0.083","0.083","0.083","0.0872","0.0872","0.0872","0.1083","0.1083","0.1083","0.0449","0.0449","0.0449","0.1158","0.1158","0.1158","0.0977","0.0977","0.0977","0.012","0.012","0.012","0.08","0.08","0.08","0.1186","0.1186","0.1186","0.0658","0.0658","0.0658","0.0626","0.0626","0.0626","0.078","0.078","0.078","0.0922","0.0922","0.0922","0.1559","0.1559","0.1559","0.1607","0.1607","0.1607","0.0363","0.0363","0.0363","0.076","0.076","0.076","0.0622","0.0622","0.0622","0.0834","0.0834","0.0834","0.0764","0.0764","0.0764","0.0964","0.0964","0.0964"
"5","0.124","0.124","0.124","0.1429","0.1429","0.1429","0.1494","0.1494","0.1494","0.1591","0.1591","0.1591","0.1038","0.1038","0.1038","0.1122","0.1122","0.1122","0.124","0.124","0.124","0.1434","0.1434","0.1434","0.0655","0.0655","0.0655","0.0868","0.0868","0.0868","0.1046","0.1046","0.1046","0.1227","0.1227","0.1227","0.0615","0.0615","0.0615","0.096","0.096","0.096","0.0684","0.0684","0.0684","0.0716","0.0716","0.0716","0.1455","0.1455","0.1455","0.1476","0.1476","0.1476","0.0527","0.0527","0.0527","0.0961","0.0961","0.0961","0.0956","0.0956","0.0956","0.1211","0.1211","0.1211","0.0468","0.0468","0.0468","0.1189","0.1189","0.1189","0.1327","0.1327","0.1327","0.0063","0.0063","0.0063","0.0967","0.0967","0.0967","0.1309","0.1309","0.1309","0.0824","0.0824","0.0824","0.0761","0.0761","0.0761","0.1015","0.1015","0.1015","0.1057","0.1057","0.1057","0.1585","0.1585","0.1585","0.1644","0.1644","0.1644","0.025","0.025","0.025","0.0926","0.0926","0.0926","0.0847","0.0847","0.0847","0.0951","0.0951","0.0951","0.0987","0.0987","0.0987","0.1057","0.1057","0.1057"
"7","0.139","0.139","0.139","0.1549","0.1549","0.1549","0.1548","0.1548","0.1548","0.1647","0.1647","0.1647","0.1145","0.1145","0.1145","0.1184","0.1184","0.1184","0.137","0.137","0.137","0.1527","0.1527","0.1527","0.0927","0.0927","0.0927","0.0978","0.0978","0.0978","0.1219","0.1219","0.1219","0.1294","0.1294","0.1294","0.0551","0.0551","0.0551","0.0946","0.0946","0.0946","0.0654","0.0654","0.0654","0.0698","0.0698","0.0698","0.1506","0.1506","0.1506","0.1504","0.1504","0.1504","0.0699","0.0699","0.0699","0.0976","0.0976","0.0976","0.1001","0.1001","0.1001","0.1263","0.1263","0.1263","0.0723","0.0723","0.0723","0.1295","0.1295","0.1295","0.1309","0.1309","0.1309","0.0024","0.0024","0.0024","0.096","0.096","0.096","0.1328","0.1328","0.1328","0.0955","0.0955","0.0955","0.0801","0.0801","0.0801","0.1108","0.1108","0.1108","0.1152","0.1152","0.1152","0.1657","0.1657","0.1657","0.1712","0.1712","0.1712","0.0359","0.0359","0.0359","0.0935","0.0935","0.0935","0.0969","0.0969","0.0969","0.1069","0.1069","0.1069","0.1076","0.1076","0.1076","0.106","0.106","0.106"
"9","0.1456","0.1456","0.1456","0.1569","0.1569","0.1569","0.157","0.157","0.157","0.1653","0.1653","0.1653","0.1207","0.1207","0.1207","0.1222","0.1222","0.1222","0.1511","0.1511","0.1511","0.1607","0.1607","0.1607","0.0797","0.0797","0.0797","0.081","0.081","0.081","0.1332","0.1332","0.1332","0.1379","0.1379","0.1379","0.0788","0.0788","0.0788","0.0991","0.0991","0.0991","0.0712","0.0712","0.0712","0.0812","0.0812","0.0812","0.1512","0.1512","0.1512","0.1508","0.1508","0.1508","0.0773","0.0773","0.0773","0.1034","0.1034","0.1034","0.1093","0.1093","0.1093","0.127","0.127","0.127","0.0729","0.0729","0.0729","0.1382","0.1382","0.1382","0.1272","0.1272","0.1272","0.0074","0.0074","0.0074","0.1193","0.1193","0.1193","0.1532","0.1532","0.1532","0.0991","0.0991","0.0991","0.0914","0.0914","0.0914","0.1163","0.1163","0.1163","0.1141","0.1141","0.1141","0.169","0.169","0.169","0.1689","0.1689","0.1689","0.0385","0.0385","0.0385","0.0999","0.0999","0.0999","0.0995","0.0995","0.0995","0.1151","0.1151","0.1151","0.1173","0.1173","0.1173","0.1149","0.1149","0.1149"
"11","0.1548","0.1548","0.1548","0.1672","0.1672","0.1672","0.1533","0.1533","0.1533","0.1589","0.1589","0.1589","0.1354","0.1354","0.1354","0.1274","0.1274","0.1274","0.1557","0.1557","0.1557","0.1593","0.1593","0.1593","0.0911","0.0911","0.0911","0.1011","0.1011","0.1011","0.1349","0.1349","0.1349","0.1435","0.1435","0.1435","0.0746","0.0746","0.0746","0.1057","0.1057","0.1057","0.0751","0.0751","0.0751","0.0873","0.0873","0.0873","0.1577","0.1577","0.1577","0.1551","0.1551","0.1551","0.0904","0.0904","0.0904","0.1252","0.1252","0.1252","0.1039","0.1039","0.1039","0.1278","0.1278","0.1278","0.112","0.112","0.112","0.1346","0.1346","0.1346","0.1335","0.1335","0.1335","","","","0.1293","0.1293","0.1293","0.1541","0.1541","0.1541","0.1071","0.1071","0.1071","0.0972","0.0972","0.0972","0.1194","0.1194","0.1194","0.1227","0.1227","0.1227","0.1712","0.1712","0.1712","0.1692","0.1692","0.1692","0.0422","0.0422","0.0422","0.0952","0.0952","0.0952","0.1102","0.1102","0.1102","0.1198","0.1198","0.1198","0.1197","0.1197","0.1197","0.118","0.118","0.118"
"13","0.159","0.159","0.159","0.1667","0.1667","0.1667","0.1608","0.1608","0.1608","0.1714","0.1714","0.1714","0.1314","0.1314","0.1314","0.1411","0.1411","0.1411","0.1532","0.1532","0.1532","0.1574","0.1574","0.1574","0.0949","0.0949","0.0949","0.1002","0.1002","0.1002","0.1435","0.1435","0.1435","0.1477","0.1477","0.1477","0.0873","0.0873","0.0873","0.1066","0.1066","0.1066","0.0813","0.0813","0.0813","0.096","0.096","0.096","0.161","0.161","0.161","0.1617","0.1617","0.1617","0.0955","0.0955","0.0955","0.1273","0.1273","0.1273","0.1144","0.1144","0.1144","0.139","0.139","0.139","0.0959","0.0959","0.0959","0.1336","0.1336","0.1336","0.1322","0.1322","0.1322","","","","0.1352","0.1352","0.1352","0.1483","0.1483","0.1483","0.1013","0.1013","0.1013","0.097","0.097","0.097","0.1189","0.1189","0.1189","0.1199","0.1199","0.1199","0.1769","0.1769","0.1769","0.1722","0.1722","0.1722","","","","0.0848","0.0848","0.0848","0.1171","0.1171","0.1171","0.1237","0.1237","0.1237","0.123","0.123","0.123","0.1111","0.1111","0.1111"
"15","0.1608","0.1608","0.1608","0.1681","0.1681","0.1681","0.1617","0.1617","0.1617","0.1705","0.1705","0.1705","0.1361","0.1361","0.1361","0.1389","0.1389","0.1389","0.1582","0.1582","0.1582","0.163","0.163","0.163","0.0894","0.0894","0.0894","0.1027","0.1027","0.1027","0.148","0.148","0.148","0.153","0.153","0.153","0.0676","0.0676","0.0676","0.1116","0.1116","0.1116","0.0739","0.0739","0.0739","0.0923","0.0923","0.0923","0.1614","0.1614","0.1614","0.1636","0.1636","0.1636","0.1005","0.1005","0.1005","0.1151","0.1151","0.1151","0.1114","0.1114","0.1114","0.1398","0.1398","0.1398","0.1127","0.1127","0.1127","0.1414","0.1414","0.1414","0.1301","0.1301","0.1301","","","","0.1385","0.1385","0.1385","0.1507","0.1507","0.1507","0.1043","0.1043","0.1043","0.0969","0.0969","0.0969","0.1185","0.1185","0.1185","0.1249","0.1249","0.1249","0.1758","0.1758","0.1758","0.1717","0.1717","0.1717","","","","0.1122","0.1122","0.1122","0.1116","0.1116","0.1116","0.122","0.122","0.122","0.118","0.118","0.118","0.1157","0.1157","0.1157"
"17","0.1603","0.1603","0.1603","0.1708","0.1708","0.1708","0.1621","0.1621","0.1621","0.1679","0.1679","0.1679","0.1429","0.1429","0.1429","0.1431","0.1431","0.1431","0.1609","0.1609","0.1609","0.164","0.164","0.164","0.0771","0.0771","0.0771","0.1004","0.1004","0.1004","0.15","0.15","0.15","0.1522","0.1522","0.1522","0.1012","0.1012","0.1012","0.137","0.137","0.137","0.0871","0.0871","0.0871","0.0835","0.0835","0.0835","0.1624","0.1624","0.1624","0.1664","0.1664","0.1664","0.1136","0.1136","0.1136","0.1369","0.1369","0.1369","0.1104","0.1104","0.1104","0.1269","0.1269","0.1269","0.1164","0.1164","0.1164","0.141","0.141","0.141","0.1321","0.1321","0.1321","","","","0.1401","0.1401","0.1401","0.1517","0.1517","0.1517","0.1063","0.1063","0.1063","0.0982","0.0982","0.0982","0.1231","0.1231","0.1231","0.1275","0.1275","0.1275","0.1738","0.1738","0.1738","","","","","","","0.1024","0.1024","0.1024","0.1145","0.1145","0.1145","0.1273","0.1273","0.1273","0.123","0.123","0.123","0.1188","0.1188","0.1188"
"19","0.1637","0.1637","0.1637","0.1687","0.1687","0.1687","0.1634","0.1634","0.1634","0.1716","0.1716","0.1716","0.1461","0.1461","0.1461","0.1396","0.1396","0.1396","0.1632","0.1632","0.1632","0.1648","0.1648","0.1648","0.0911","0.0911","0.0911","0.103","0.103","0.103","0.1476","0.1476","0.1476","0.1487","0.1487","0.1487","0.0909","0.0909","0.0909","0.1298","0.1298","0.1298","0.0845","0.0845","0.0845","0.0775","0.0775","0.0775","0.1643","0.1643","0.1643","0.1624","0.1624","0.1624","0.0959","0.0959","0.0959","0.1241","0.1241","0.1241","0.1162","0.1162","0.1162","0.1349","0.1349","0.1349","0.1216","0.1216","0.1216","0.1428","0.1428","0.1428","0.1335","0.1335","0.1335","","","","0.1353","0.1353","0.1353","","","","0.1007","0.1007","0.1007","0.0983","0.0983","0.0983","0.1146","0.1146","0.1146","0.1269","0.1269","0.1269","0.173","0.173","0.173","","","","","","","0.1005","0.1005","0.1005","0.1195","0.1195","0.1195","0.1357","0.1357","0.1357","0.1261","0.1261","0.1261","0.1194","0.1194","0.1194"
