"Step","experiment_AmpBPR2_1.5302548366951503_0.0 - mf_loss","experiment_AmpBPR2_1.5302548366951503_0.0 - mf_loss__MIN","experiment_AmpBPR2_1.5302548366951503_0.0 - mf_loss__MAX","experiment_AmpBPR1_1.5302548366951503_0.0 - mf_loss","experiment_AmpBPR1_1.5302548366951503_0.0 - mf_loss__MIN","experiment_AmpBPR1_1.5302548366951503_0.0 - mf_loss__MAX","experiment_OriginalBPR_1.5302548366951503_0.0 - mf_loss","experiment_OriginalBPR_1.5302548366951503_0.0 - mf_loss__MIN","experiment_OriginalBPR_1.5302548366951503_0.0 - mf_loss__MAX","experiment_AmpBPR2_1.7672886054282924_0.0 - mf_loss","experiment_AmpBPR2_1.7672886054282924_0.0 - mf_loss__MIN","experiment_AmpBPR2_1.7672886054282924_0.0 - mf_loss__MAX","experiment_AmpBPR1_1.7672886054282924_0.0 - mf_loss","experiment_AmpBPR1_1.7672886054282924_0.0 - mf_loss__MIN","experiment_AmpBPR1_1.7672886054282924_0.0 - mf_loss__MAX","experiment_OriginalBPR_1.7672886054282924_0.0 - mf_loss","experiment_OriginalBPR_1.7672886054282924_0.0 - mf_loss__MIN","experiment_OriginalBPR_1.7672886054282924_0.0 - mf_loss__MAX","experiment_AmpBPR2_1.5606823473502276_0.0 - mf_loss","experiment_AmpBPR2_1.5606823473502276_0.0 - mf_loss__MIN","experiment_AmpBPR2_1.5606823473502276_0.0 - mf_loss__MAX","experiment_AmpBPR1_1.5606823473502276_0.0 - mf_loss","experiment_AmpBPR1_1.5606823473502276_0.0 - mf_loss__MIN","experiment_AmpBPR1_1.5606823473502276_0.0 - mf_loss__MAX","experiment_OriginalBPR_1.5606823473502276_0.0 - mf_loss","experiment_OriginalBPR_1.5606823473502276_0.0 - mf_loss__MIN","experiment_OriginalBPR_1.5606823473502276_0.0 - mf_loss__MAX","experiment_AmpBPR2_1.7912694364187152_0.0 - mf_loss","experiment_AmpBPR2_1.7912694364187152_0.0 - mf_loss__MIN","experiment_AmpBPR2_1.7912694364187152_0.0 - mf_loss__MAX","experiment_AmpBPR1_1.7912694364187152_0.0 - mf_loss","experiment_AmpBPR1_1.7912694364187152_0.0 - mf_loss__MIN","experiment_AmpBPR1_1.7912694364187152_0.0 - mf_loss__MAX","experiment_OriginalBPR_1.7912694364187152_0.0 - mf_loss","experiment_OriginalBPR_1.7912694364187152_0.0 - mf_loss__MIN","experiment_OriginalBPR_1.7912694364187152_0.0 - mf_loss__MAX","experiment_AmpBPR2_1.4170220047025741_0.0 - mf_loss","experiment_AmpBPR2_1.4170220047025741_0.0 - mf_loss__MIN","experiment_AmpBPR2_1.4170220047025741_0.0 - mf_loss__MAX","experiment_AmpBPR1_1.4170220047025741_0.0 - mf_loss","experiment_AmpBPR1_1.4170220047025741_0.0 - mf_loss__MIN","experiment_AmpBPR1_1.4170220047025741_0.0 - mf_loss__MAX","experiment_OriginalBPR_1.4170220047025741_0.0 - mf_loss","experiment_OriginalBPR_1.4170220047025741_0.0 - mf_loss__MIN","experiment_OriginalBPR_1.4170220047025741_0.0 - mf_loss__MAX","experiment_AmpBPR2_1.596736463578797_0.0 - mf_loss","experiment_AmpBPR2_1.596736463578797_0.0 - mf_loss__MIN","experiment_AmpBPR2_1.596736463578797_0.0 - mf_loss__MAX","experiment_AmpBPR1_1.596736463578797_0.0 - mf_loss","experiment_AmpBPR1_1.596736463578797_0.0 - mf_loss__MIN","experiment_AmpBPR1_1.596736463578797_0.0 - mf_loss__MAX","experiment_OriginalBPR_1.596736463578797_0.0 - mf_loss","experiment_OriginalBPR_1.596736463578797_0.0 - mf_loss__MIN","experiment_OriginalBPR_1.596736463578797_0.0 - mf_loss__MAX","experiment_AmpBPR2_1.6492323458331901_0.0 - mf_loss","experiment_AmpBPR2_1.6492323458331901_0.0 - mf_loss__MIN","experiment_AmpBPR2_1.6492323458331901_0.0 - mf_loss__MAX","experiment_AmpBPR1_1.6492323458331901_0.0 - mf_loss","experiment_AmpBPR1_1.6492323458331901_0.0 - mf_loss__MIN","experiment_AmpBPR1_1.6492323458331901_0.0 - mf_loss__MAX","experiment_OriginalBPR_1.6492323458331901_0.0 - mf_loss","experiment_OriginalBPR_1.6492323458331901_0.0 - mf_loss__MIN","experiment_OriginalBPR_1.6492323458331901_0.0 - mf_loss__MAX","experiment_AmpBPR2_1.2157148817244199_0.0 - mf_loss","experiment_AmpBPR2_1.2157148817244199_0.0 - mf_loss__MIN","experiment_AmpBPR2_1.2157148817244199_0.0 - mf_loss__MAX","experiment_AmpBPR1_1.2157148817244199_0.0 - mf_loss","experiment_AmpBPR1_1.2157148817244199_0.0 - mf_loss__MIN","experiment_AmpBPR1_1.2157148817244199_0.0 - mf_loss__MAX","experiment_OriginalBPR_1.2157148817244199_0.0 - mf_loss","experiment_OriginalBPR_1.2157148817244199_0.0 - mf_loss__MIN","experiment_OriginalBPR_1.2157148817244199_0.0 - mf_loss__MAX","experiment_AmpBPR2_1.620738465927356_0.0 - mf_loss","experiment_AmpBPR2_1.620738465927356_0.0 - mf_loss__MIN","experiment_AmpBPR2_1.620738465927356_0.0 - mf_loss__MAX","experiment_AmpBPR1_1.620738465927356_0.0 - mf_loss","experiment_AmpBPR1_1.620738465927356_0.0 - mf_loss__MIN","experiment_AmpBPR1_1.620738465927356_0.0 - mf_loss__MAX","experiment_OriginalBPR_1.620738465927356_0.0 - mf_loss","experiment_OriginalBPR_1.620738465927356_0.0 - mf_loss__MIN","experiment_OriginalBPR_1.620738465927356_0.0 - mf_loss__MAX","experiment_AmpBPR2_1.5488135039273248_0.0 - mf_loss","experiment_AmpBPR2_1.5488135039273248_0.0 - mf_loss__MIN","experiment_AmpBPR2_1.5488135039273248_0.0 - mf_loss__MAX","experiment_AmpBPR1_1.5488135039273248_0.0 - mf_loss","experiment_AmpBPR1_1.5488135039273248_0.0 - mf_loss__MIN","experiment_AmpBPR1_1.5488135039273248_0.0 - mf_loss__MAX","experiment_OriginalBPR_1.5488135039273248_0.0 - mf_loss","experiment_OriginalBPR_1.5488135039273248_0.0 - mf_loss__MIN","experiment_OriginalBPR_1.5488135039273248_0.0 - mf_loss__MAX"
"0","0.45039688522302657","0.45039688522302657","0.45039688522302657","0.3399072447909586","0.3399072447909586","0.3399072447909586","0.36536712416365175","0.36536712416365175","0.36536712416365175","0.47988709920569317","0.47988709920569317","0.47988709920569317","0.32941139253634427","0.32941139253634427","0.32941139253634427","0.3665764782624909","0.3665764782624909","0.3665764782624909","0.4525620073457307","0.4525620073457307","0.4525620073457307","0.33685063429271134","0.33685063429271134","0.33685063429271134","0.3609950732958467","0.3609950732958467","0.3609950732958467","0.4767809378195414","0.4767809378195414","0.4767809378195414","0.3346246222529229","0.3346246222529229","0.3346246222529229","0.36580504967442057","0.36580504967442057","0.36580504967442057","0.4370047917848899","0.4370047917848899","0.4370047917848899","0.34433382749557484","0.34433382749557484","0.34433382749557484","0.3619779191816909","0.3619779191816909","0.3619779191816909","0.4628051941907859","0.4628051941907859","0.4628051941907859","0.3371710177463819","0.3371710177463819","0.3371710177463819","0.3702913696252848","0.3702913696252848","0.3702913696252848","0.4581800344624097","0.4581800344624097","0.4581800344624097","0.3353391944230359","0.3353391944230359","0.3353391944230359","0.3667061643887171","0.3667061643887171","0.3667061643887171","0.40751369561575645","0.40751369561575645","0.40751369561575645","0.34591310178931756","0.34591310178931756","0.34591310178931756","0.36908746482450755","0.36908746482450755","0.36908746482450755","0.4612053568604628","0.4612053568604628","0.4612053568604628","0.3403933883845052","0.3403933883845052","0.3403933883845052","0.3688926187497152","0.3688926187497152","0.3688926187497152","0.4497639480270917","0.4497639480270917","0.4497639480270917","0.334218304368514","0.334218304368514","0.334218304368514","0.3597555081301098","0.3597555081301098","0.3597555081301098"
"1","0.27670262301269966","0.27670262301269966","0.27670262301269966","0.19230132672605638","0.19230132672605638","0.19230132672605638","0.20367503562305544","0.20367503562305544","0.20367503562305544","0.32630613483960114","0.32630613483960114","0.32630613483960114","0.16283269358586663","0.16283269358586663","0.16283269358586663","0.20857141346116614","0.20857141346116614","0.20857141346116614","0.2779535370159753","0.2779535370159753","0.2779535370159753","0.20555128930490232","0.20555128930490232","0.20555128930490232","0.20174397490447082","0.20174397490447082","0.20174397490447082","0.2981064470508431","0.2981064470508431","0.2981064470508431","0.19590373676788952","0.19590373676788952","0.19590373676788952","0.20089376595201375","0.20089376595201375","0.20089376595201375","0.26319415584395195","0.26319415584395195","0.26319415584395195","0.2020660810455491","0.2020660810455491","0.2020660810455491","0.20131933028939406","0.20131933028939406","0.20131933028939406","0.3113891863370243","0.3113891863370243","0.3113891863370243","0.2017981464727015","0.2017981464727015","0.2017981464727015","0.20324317922320545","0.20324317922320545","0.20324317922320545","0.28714552031287666","0.28714552031287666","0.28714552031287666","0.19514544081838817","0.19514544081838817","0.19514544081838817","0.19848092862322364","0.19848092862322364","0.19848092862322364","0.23392272014406662","0.23392272014406662","0.23392272014406662","0.1863995760302001","0.1863995760302001","0.1863995760302001","0.205640129462073","0.205640129462073","0.205640129462073","0.28018852427035945","0.28018852427035945","0.28018852427035945","0.1829528327606901","0.1829528327606901","0.1829528327606901","0.21608879860443395","0.21608879860443395","0.21608879860443395","0.2835370845432522","0.2835370845432522","0.2835370845432522","0.1762614591589457","0.1762614591589457","0.1762614591589457","0.19419541936131982","0.19419541936131982","0.19419541936131982"
"2","0.2452308324318897","0.2452308324318897","0.2452308324318897","0.15747610234384302","0.15747610234384302","0.15747610234384302","0.1764199281040626","0.1764199281040626","0.1764199281040626","0.28010705207722103","0.28010705207722103","0.28010705207722103","0.13919591083179544","0.13919591083179544","0.13919591083179544","0.18216585848904862","0.18216585848904862","0.18216585848904862","0.23975482733943787","0.23975482733943787","0.23975482733943787","0.1783044656997994","0.1783044656997994","0.1783044656997994","0.1739571539661552","0.1739571539661552","0.1739571539661552","0.2657579702289799","0.2657579702289799","0.2657579702289799","0.15952513300919832","0.15952513300919832","0.15952513300919832","0.17546090559114383","0.17546090559114383","0.17546090559114383","0.22908566213106807","0.22908566213106807","0.22908566213106807","0.17194992115225968","0.17194992115225968","0.17194992115225968","0.1705691388136224","0.1705691388136224","0.1705691388136224","0.2678121200090722","0.2678121200090722","0.2678121200090722","0.17027491764931743","0.17027491764931743","0.17027491764931743","0.17539376190191575","0.17539376190191575","0.17539376190191575","0.25352069056486787","0.25352069056486787","0.25352069056486787","0.16190418167204804","0.16190418167204804","0.16190418167204804","0.16710837449454044","0.16710837449454044","0.16710837449454044","0.19580378128757964","0.19580378128757964","0.19580378128757964","0.1565024113353295","0.1565024113353295","0.1565024113353295","0.18308705110338674","0.18308705110338674","0.18308705110338674","0.25299820775472665","0.25299820775472665","0.25299820775472665","0.15012852564642698","0.15012852564642698","0.15012852564642698","0.1960641715345503","0.1960641715345503","0.1960641715345503","0.24426562744605387","0.24426562744605387","0.24426562744605387","0.1545733784007121","0.1545733784007121","0.1545733784007121","0.16821131336538098","0.16821131336538098","0.16821131336538098"
"3","0.22328451200376578","0.22328451200376578","0.22328451200376578","0.14134599343885346","0.14134599343885346","0.14134599343885346","0.1518941224564479","0.1518941224564479","0.1518941224564479","0.2591245321533349","0.2591245321533349","0.2591245321533349","0.12956106502421297","0.12956106502421297","0.12956106502421297","0.15926792076494126","0.15926792076494126","0.15926792076494126","0.22058930917631223","0.22058930917631223","0.22058930917631223","0.15186020533872552","0.15186020533872552","0.15186020533872552","0.15727829895442041","0.15727829895442041","0.15727829895442041","0.24698798754547213","0.24698798754547213","0.24698798754547213","0.1440322617941265","0.1440322617941265","0.1440322617941265","0.1531800722019582","0.1531800722019582","0.1531800722019582","0.2096861891354187","0.2096861891354187","0.2096861891354187","0.1447224130358877","0.1447224130358877","0.1447224130358877","0.15534085271101966","0.15534085271101966","0.15534085271101966","0.23130578802356233","0.23130578802356233","0.23130578802356233","0.1458288272724876","0.1458288272724876","0.1458288272724876","0.15668196749838087","0.15668196749838087","0.15668196749838087","0.23210039546218098","0.23210039546218098","0.23210039546218098","0.14493052897196787","0.14493052897196787","0.14493052897196787","0.14959074226738536","0.14959074226738536","0.14959074226738536","0.18159829476211642","0.18159829476211642","0.18159829476211642","0.1416172479526907","0.1416172479526907","0.1416172479526907","0.15631196006566653","0.15631196006566653","0.15631196006566653","0.23308706679676144","0.23308706679676144","0.23308706679676144","0.13329914372555812","0.13329914372555812","0.13329914372555812","0.1664700687308854","0.1664700687308854","0.1664700687308854","0.22560262585742566","0.22560262585742566","0.22560262585742566","0.1395701757526096","0.1395701757526096","0.1395701757526096","0.15340764735695678","0.15340764735695678","0.15340764735695678"
"4","0.2084807419701467","0.2084807419701467","0.2084807419701467","0.12870163677991195","0.12870163677991195","0.12870163677991195","0.13493598856126207","0.13493598856126207","0.13493598856126207","0.23445305039611042","0.23445305039611042","0.23445305039611042","0.11758625205559067","0.11758625205559067","0.11758625205559067","0.14237176617489583","0.14237176617489583","0.14237176617489583","0.2089342274997808","0.2089342274997808","0.2089342274997808","0.1339291989614692","0.1339291989614692","0.1339291989614692","0.14109151263402986","0.14109151263402986","0.14109151263402986","0.2302224824700173","0.2302224824700173","0.2302224824700173","0.13244900418610517","0.13244900418610517","0.13244900418610517","0.13929508334096474","0.13929508334096474","0.13929508334096474","0.1949008035508892","0.1949008035508892","0.1949008035508892","0.12747581595484214","0.12747581595484214","0.12747581595484214","0.1432999144249325","0.1432999144249325","0.1432999144249325","0.2158624963669838","0.2158624963669838","0.2158624963669838","0.1263513120857975","0.1263513120857975","0.1263513120857975","0.13888596262358407","0.13888596262358407","0.13888596262358407","0.21694720074345797","0.21694720074345797","0.21694720074345797","0.13081327882371374","0.13081327882371374","0.13081327882371374","0.13568355718368214","0.13568355718368214","0.13568355718368214","0.1669677935446365","0.1669677935446365","0.1669677935446365","0.13012160162759734","0.13012160162759734","0.13012160162759734","0.14082757911727398","0.14082757911727398","0.14082757911727398","0.21887428247475918","0.21887428247475918","0.21887428247475918","0.12055287793090072","0.12055287793090072","0.12055287793090072","0.14490133901185623","0.14490133901185623","0.14490133901185623","0.21049499228785318","0.21049499228785318","0.21049499228785318","0.1301592955295044","0.1301592955295044","0.1301592955295044","0.14596780097182793","0.14596780097182793","0.14596780097182793"
"5","0.19776879854594606","0.19776879854594606","0.19776879854594606","0.1171517076937458","0.1171517076937458","0.1171517076937458","0.12227006643256055","0.12227006643256055","0.12227006643256055","0.22068183595621133","0.22068183595621133","0.22068183595621133","0.10864014433154574","0.10864014433154574","0.10864014433154574","0.1314314219016063","0.1314314219016063","0.1314314219016063","0.19810610160797457","0.19810610160797457","0.19810610160797457","0.12417485725276081","0.12417485725276081","0.12417485725276081","0.132203482185738","0.132203482185738","0.132203482185738","0.21729063629349582","0.21729063629349582","0.21729063629349582","0.11379018661719338","0.11379018661719338","0.11379018661719338","0.13081443375801732","0.13081443375801732","0.13081443375801732","0.18580579908588268","0.18580579908588268","0.18580579908588268","0.11606326520065721","0.11606326520065721","0.11606326520065721","0.135608991678757","0.135608991678757","0.135608991678757","0.20470400795906396","0.20470400795906396","0.20470400795906396","0.11469169423172743","0.11469169423172743","0.11469169423172743","0.12705758119685734","0.12705758119685734","0.12705758119685734","0.20569541559943674","0.20569541559943674","0.20569541559943674","0.11915480600127693","0.11915480600127693","0.11915480600127693","0.12645706326901165","0.12645706326901165","0.12645706326901165","0.16153769515737706","0.16153769515737706","0.16153769515737706","0.12395340383430069","0.12395340383430069","0.12395340383430069","0.1271424923516527","0.1271424923516527","0.1271424923516527","0.2084859805771067","0.2084859805771067","0.2084859805771067","0.1142311684692962","0.1142311684692962","0.1142311684692962","0.1277521262063256","0.1277521262063256","0.1277521262063256","0.19643413794191578","0.19643413794191578","0.19643413794191578","0.11943370556529566","0.11943370556529566","0.11943370556529566","0.13413685032084022","0.13413685032084022","0.13413685032084022"
"6","0.18592436234407791","0.18592436234407791","0.18592436234407791","0.11110677041962173","0.11110677041962173","0.11110677041962173","0.11603938326050965","0.11603938326050965","0.11603938326050965","0.20485332193253916","0.20485332193253916","0.20485332193253916","0.10130864881639236","0.10130864881639236","0.10130864881639236","0.12189589997258367","0.12189589997258367","0.12189589997258367","0.18514089663571948","0.18514089663571948","0.18514089663571948","0.10972253402954416","0.10972253402954416","0.10972253402954416","0.12273325544746617","0.12273325544746617","0.12273325544746617","0.2075825867396367","0.2075825867396367","0.2075825867396367","0.107685254816013","0.107685254816013","0.107685254816013","0.1248872073579438","0.1248872073579438","0.1248872073579438","0.17613229683682885","0.17613229683682885","0.17613229683682885","0.10818046246525606","0.10818046246525606","0.10818046246525606","0.12816303345976","0.12816303345976","0.12816303345976","0.19228370431103287","0.19228370431103287","0.19228370431103287","0.10921023540858979","0.10921023540858979","0.10921023540858979","0.11836649062512795","0.11836649062512795","0.11836649062512795","0.19657686597938773","0.19657686597938773","0.19657686597938773","0.108225582521173","0.108225582521173","0.108225582521173","0.11939572175092336","0.11939572175092336","0.11939572175092336","0.14557828725893288","0.14557828725893288","0.14557828725893288","0.11285674185315267","0.11285674185315267","0.11285674185315267","0.11873639007157921","0.11873639007157921","0.11873639007157921","0.19694972585273687","0.19694972585273687","0.19694972585273687","0.1064545049131671","0.1064545049131671","0.1064545049131671","0.11838064418186121","0.11838064418186121","0.11838064418186121","0.1864678884231592","0.1864678884231592","0.1864678884231592","0.1111355470139769","0.1111355470139769","0.1111355470139769","0.12922758033758477","0.12922758033758477","0.12922758033758477"
"7","0.1707109141198894","0.1707109141198894","0.1707109141198894","0.10040463299690923","0.10040463299690923","0.10040463299690923","0.10964850675833374","0.10964850675833374","0.10964850675833374","0.19583377619332903","0.19583377619332903","0.19583377619332903","0.09413409940426859","0.09413409940426859","0.09413409940426859","0.11071137810432459","0.11071137810432459","0.11071137810432459","0.1803400716449641","0.1803400716449641","0.1803400716449641","0.10229503872651088","0.10229503872651088","0.10229503872651088","0.11304628490647181","0.11304628490647181","0.11304628490647181","0.19545327240153212","0.19545327240153212","0.19545327240153212","0.09636907571855978","0.09636907571855978","0.09636907571855978","0.11596771027845675","0.11596771027845675","0.11596771027845675","0.17032897661003887","0.17032897661003887","0.17032897661003887","0.10538659725762617","0.10538659725762617","0.10538659725762617","0.11837928402650205","0.11837928402650205","0.11837928402650205","0.18517746710324584","0.18517746710324584","0.18517746710324584","0.09954588492459888","0.09954588492459888","0.09954588492459888","0.11075273344788374","0.11075273344788374","0.11075273344788374","0.18626967600629302","0.18626967600629302","0.18626967600629302","0.09920167309951178","0.09920167309951178","0.09920167309951178","0.11148243812443333","0.11148243812443333","0.11148243812443333","0.13995904607486126","0.13995904607486126","0.13995904607486126","0.11049211496793773","0.11049211496793773","0.11049211496793773","0.11030608264705802","0.11030608264705802","0.11030608264705802","0.1844389365066456","0.1844389365066456","0.1844389365066456","0.09628068853782701","0.09628068853782701","0.09628068853782701","0.10994019151865679","0.10994019151865679","0.10994019151865679","0.1786847948273527","0.1786847948273527","0.1786847948273527","0.10417156025201461","0.10417156025201461","0.10417156025201461","0.11973347250796573","0.11973347250796573","0.11973347250796573"
"8","0.16134383652029158","0.16134383652029158","0.16134383652029158","0.09230370744119717","0.09230370744119717","0.09230370744119717","0.10639687646416172","0.10639687646416172","0.10639687646416172","0.182756366609018","0.182756366609018","0.182756366609018","0.08721330422389355","0.08721330422389355","0.08721330422389355","0.1097063260931003","0.1097063260931003","0.1097063260931003","0.167904435079309","0.167904435079309","0.167904435079309","0.09562413799989071","0.09562413799989071","0.09562413799989071","0.1090513177310365","0.1090513177310365","0.1090513177310365","0.18302370607852939","0.18302370607852939","0.18302370607852939","0.08993061094344418","0.08993061094344418","0.08993061094344418","0.10982364152051229","0.10982364152051229","0.10982364152051229","0.15670366047681136","0.15670366047681136","0.15670366047681136","0.09749458390700669","0.09749458390700669","0.09749458390700669","0.109944272550601","0.109944272550601","0.109944272550601","0.171792503399185","0.171792503399185","0.171792503399185","0.09320012055620365","0.09320012055620365","0.09320012055620365","0.10379403320294393","0.10379403320294393","0.10379403320294393","0.17309819520274294","0.17309819520274294","0.17309819520274294","0.08883206763222252","0.08883206763222252","0.08883206763222252","0.10555323977259141","0.10555323977259141","0.10555323977259141","0.1348398373096804","0.1348398373096804","0.1348398373096804","0.10285698565878446","0.10285698565878446","0.10285698565878446","0.10773768162802809","0.10773768162802809","0.10773768162802809","0.17328372484521024","0.17328372484521024","0.17328372484521024","0.08996762589940542","0.08996762589940542","0.08996762589940542","0.10734263939570778","0.10734263939570778","0.10734263939570778","0.16696347730069225","0.16696347730069225","0.16696347730069225","0.09375099545415447","0.09375099545415447","0.09375099545415447","0.11358308377145215","0.11358308377145215","0.11358308377145215"
"9","0.15442929709259468","0.15442929709259468","0.15442929709259468","0.0844565076352675","0.0844565076352675","0.0844565076352675","0.100065873016285","0.100065873016285","0.100065873016285","0.1747988162538673","0.1747988162538673","0.1747988162538673","0.081409717992514","0.081409717992514","0.081409717992514","0.10181588264583033","0.10181588264583033","0.10181588264583033","0.1548525095929073","0.1548525095929073","0.1548525095929073","0.08811887928956674","0.08811887928956674","0.08811887928956674","0.09949709852285026","0.09949709852285026","0.09949709852285026","0.17422077191781393","0.17422077191781393","0.17422077191781393","0.08334631387945972","0.08334631387945972","0.08334631387945972","0.1036732274143002","0.1036732274143002","0.1036732274143002","0.14404352490283268","0.14404352490283268","0.14404352490283268","0.09068569097715086","0.09068569097715086","0.09068569097715086","0.10460995675265028","0.10460995675265028","0.10460995675265028","0.1636863486676276","0.1636863486676276","0.1636863486676276","0.08432118754975404","0.08432118754975404","0.08432118754975404","0.09990144539860231","0.09990144539860231","0.09990144539860231","0.16844107342671744","0.16844107342671744","0.16844107342671744","0.08213856424900547","0.08213856424900547","0.08213856424900547","0.09990270341498943","0.09990270341498943","0.09990270341498943","0.12440460109258002","0.12440460109258002","0.12440460109258002","0.09700175893457627","0.09700175893457627","0.09700175893457627","0.10014447918798351","0.10014447918798351","0.10014447918798351","0.16145218757888935","0.16145218757888935","0.16145218757888935","0.08347829478450972","0.08347829478450972","0.08347829478450972","0.09839293605919126","0.09839293605919126","0.09839293605919126","0.16115655778329585","0.16115655778329585","0.16115655778329585","0.08687294944177701","0.08687294944177701","0.08687294944177701","0.10178940422550034","0.10178940422550034","0.10178940422550034"
